simulation_package/melt/data_generation/outputs/eps_15/rep_009/virial_tensor_log.gsd: 1658.252908 tau_R^0 (frames=268134, first_step=11205000, last_step=1351405000)
simulation_package/melt/data_generation/outputs/eps_15/rep_010/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1351200000, last_step=1351200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_010/msd_trajectory.gsd: 1658.005444 tau_R^0 (frames=6702, first_step=11400000, last_step=1351400000)
simulation_package/melt/data_generation/outputs/eps_15/rep_010/trajectory.gsd: 1658.005444 tau_R^0 (frames=6702, first_step=11400000, last_step=1351400000)
simulation_package/melt/data_generation/outputs/eps_15/rep_010/virial_tensor_log.gsd: 1658.308587 tau_R^0 (frames=268075, first_step=11205000, last_step=1351450000)
simulation_package/melt/data_generation/outputs/eps_18/rep_001/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1343200000, last_step=1343200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_001/msd_trajectory.gsd: 1648.601831 tau_R^0 (frames=6663, first_step=11400000, last_step=1343800000)
simulation_package/melt/data_generation/outputs/eps_18/rep_001/trajectory.gsd: 1648.601831 tau_R^0 (frames=6663, first_step=11400000, last_step=1343800000)
simulation_package/melt/data_generation/outputs/eps_18/rep_001/virial_tensor_log.gsd: 1649.003959 tau_R^0 (frames=266530, first_step=11205000, last_step=1343930000)
simulation_package/melt/data_generation/outputs/eps_18/rep_002/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1299200000, last_step=1299200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_002/msd_trajectory.gsd: 1593.912398 tau_R^0 (frames=6442, first_step=11400000, last_step=1299600000)
simulation_package/melt/data_generation/outputs/eps_18/rep_002/trajectory.gsd: 1593.912398 tau_R^0 (frames=6442, first_step=11400000, last_step=1299600000)
simulation_package/melt/data_generation/outputs/eps_18/rep_002/virial_tensor_log.gsd: 1594.128928 tau_R^0 (frames=257652, first_step=11205000, last_step=1299580000)
simulation_package/melt/data_generation/outputs/eps_18/rep_003/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1343200000, last_step=1343200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_003/msd_trajectory.gsd: 1648.849295 tau_R^0 (frames=6664, first_step=11400000, last_step=1344000000)
simulation_package/melt/data_generation/outputs/eps_18/rep_003/trajectory.gsd: 1648.849295 tau_R^0 (frames=6664, first_step=11400000, last_step=1344000000)
simulation_package/melt/data_generation/outputs/eps_18/rep_003/virial_tensor_log.gsd: 1649.152438 tau_R^0 (frames=266559, first_step=11205000, last_step=1344050000)
simulation_package/melt/data_generation/outputs/eps_18/rep_004/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1226200000, last_step=1226200000)
simulation_package/melt/data_generation/outputs/eps_18/rep_004/msd_trajectory.gsd: 1503.093294 tau_R^0 (frames=6075, first_step=11400000, last_step=1226200000)
